,0
"('800.1',)",28248.650450599667
"('800.2',)",28248.650450599667
"('800.3',)",13498.97664992152
"('802.1',)",10404.928529478819
"('802.2',)",10230.144750045974
"('802.3',)",10230.144750045974
"('806.1',)",9509.199004660068
"('806.2',)",4517.94362523919
"('806.3',)",2079.742809247697
"('808.1',)",530.56226287853
"('808.2',)",68.0159618152205
"('808.3',)",68.0159618152205
"('812.3',)",35.44588110116546
"('812.1',)",33.143686783118596
"('812.2',)",33.143686783118596
"('810.2',)",29.727601473719155
"('814.1',)",24.630008663925913
"('814.2',)",18.16084431694351
"('814.3',)",18.16084431694351
"('814r.1',)",8.89446788506681
"('814r.2',)",8.89446788506681
"('850.2',)",5.3568832236358865
"('850.3',)",5.3568832236358865
"('816.1',)",5.233588306125373
"('816.2',)",4.633397564792049
"('814r.3',)",4.6021607049895294
"('850.1',)",4.6021607049895294
"('816.3',)",3.6608472418636655
"('818.1',)",3.6608472418636655
"('824.1',)",2.117721915972611
"('824.2',)",2.117721915972611
"('824.3',)",1.9550132834270522
"('820.1',)",1.9550132834270522
"('828.1',)",1.44528048225073
"('822.1',)",1.393641316276083
"('826.2',)",1.393641316276083
"('828.2',)",0.9390886680007026
"('830.2',)",0.7810765670035907
"('828.3',)",0.7545671223848007
"('830.1',)",0.7545671223848007
"('830.3',)",0.5763589329722747
"('854.1',)",0.5763589329722747
"('854.2',)",0.4730200577067757
"('854.3',)",0.4730200577067757
"('832.2',)",0.3676543348312701
"('832.1',)",0.28439444120854673
"('858.3',)",0.26082675673705735
"('858.2',)",0.26082675673705735
"('858.1',)",0.22900538975296275
"('832.3',)",0.22900538975296275
"('834.1',)",0.22214341321172534
"('860.1',)",0.19358387964174592
"('834.2',)",0.19294119154403067
"('834.3',)",0.19294119154403067
"('860.2',)",0.18884791573853887
"('860.3',)",0.18884791573853887
"('842.3',)",0.17656017134059815
"('842.1',)",0.16921766326600632
"('842.2',)",0.16921766326600632
"('836.2',)",0.10437741057896838
"('836.3',)",0.10437741057896838
"('840.3',)",0.08573905473216036
"('862.1',)",0.08233370129644457
"('862.2',)",0.08063134730956023
"('862.3',)",0.08063134730956023
"('840.2',)",0.07286445274774558
"('840.1',)",0.07286445274774558
"('844.1',)",0.0658883218116782
"('844.2',)",0.0658883218116782
"('836.1',)",0.06486562838386961
"('856.2',)",0.04050990931042166
"('852.1',)",0.03940110531434473
"('848.2',)",0.039084841219200875
"('848.3',)",0.039084841219200875
"('848.1',)",0.038770097968059115
"('846.3',)",0.038770097968059115
"('852r.1',)",0.037641543974737
"('852r.2',)",0.037641543974737
"('888.2',)",0.03352624576008759
"('888.1',)",0.02974923373481673
"('846.2',)",0.019563102035580326
"('846.1',)",0.009535247744941288
"('844.3',)",0.009535247744941288
"('852r.3',)",0.006221002382769969
"('890.2',)",0.001581098204898467
"('890.3',)",0.001581098204898467
"('838.2',)",0.0015776989553379461
"('890.1',)",0.0015776989553379461
"('864.1',)",0.0015213580475031295
"('852.3',)",0.0015213580475031295
"('852.2',)",0.000981086066281393
"('888.3',)",3.260289979958918e-05
